scientific,common,season start,season end,Type,shrooms seasons
Tuber aestivum,Truffles,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Tricholomopsis rutilans,Plums And Custard,Jul ,Nov ,Inedible,"['Autumn', 'Summer']"
Tricholoma terreum,The Grey Knight,Aug ,Oct ,Poisonous,"['Autumn', 'Summer']"
Stropharia caerulea,Blue Roundhead,Aug ,Dec ,Poisonous,"['Autumn', 'Winter']"
Sparassis crispa,Cauliflower Fungus,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Scleroderma citrinum,Common Earthball,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Sarcoscypha austriaca,Scarlet Elfcup,Dec ,Apr ,Edible,"['Spring', 'Winter']"
Russula virescens,Green Cracking Russula,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Russula parazurea,Powdery Brittlegill,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Russula ochroleuca,Common Yellow Russula,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Russula nobilis,Beechwood Sickener,Aug ,Nov ,Poisonous,"['Autumn', 'Summer']"
Russula fellea,Geranium Scented Russula,Aug ,Nov ,Poisonous,"['Autumn', 'Summer']"
Russula emetica,The Sickener,Jul ,Oct ,Poisonous,"['Autumn', 'Summer']"
Russula cyanoxantha,The Charcoal Burner,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Russula claroflava,Yellow Swamp Russula,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Russula atropurpurea,Blackish Purple Russula,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Rhodotus palmatus,Wrinkled Peach,Jul ,Nov ,Inedible,"['Autumn', 'Summer']"
Rhodocollybia butyraceae.,Butter Cap,Jul ,Dec ,Edible,"['Autumn', 'Summer', 'Winter']"
Rhizopogdon luteolas,Yellow False Truffle,Aug ,Nov ,Inedible,"['Autumn', 'Summer']"
Pseudohydnum gelatinosum,Jelly Tooth,Sep ,Dec ,Inedible,"['Autumn', 'Winter']"
Pseudoclitocybe cyathiformis,The Goblet,Oct ,Jan ,Edible,"['Autumn', 'Winter']"
Polyporus squamosus,Dryad's Saddle,May ,Aug ,Edible,"['Spring', 'Summer']"
Pleurotus ostreatus,Grey Oyster Mushroom,All Year ,All Year ,Edible,"['Autumn', 'Spring', 'Summer', 'Winter']"
Piptoporus betulinus,Birch Polypore,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
